name,github_slug,main_repo,homepage,language,domains,loc_estimate,fuzzing_engines,sanitizers,fuzz_target_count,has_dockerfile,has_asan,has_coverage,build_system,quality_score,apt_packages,nvd_cve_count,nvd_mean_cvss,nvd_cwes,github_stars
cpp-httplib,yhirose/cpp-httplib,https://github.com/yhirose/cpp-httplib.git,https://github.com/yhirose/cpp-httplib,c++,compression | networking,59923,afl | honggfuzz | libfuzzer,address | undefined,0,Yes,Yes,No,make,2,make | autoconf | automake | libtool | libbrotli-dev | zlib1g-dev,10,7.22,CWE-74 | CWE-113 | CWE-400 | CWE-770 | CWE-835 | CWE-444 | CWE-290 | CWE-345 | CWE-807 | CWE-117,16265
gpsd,,https://gitlab.com/gpsd/gpsd,https://gpsd.io,c,uncategorized,,libfuzzer | afl | honggfuzz,address | memory,0,Yes,Yes,No,,2,scons | python3-distutils,10,7.02,CWE-59 | CWE-20 | CWE-121 | CWE-787 | CWE-191 | CWE-122,
icalendar,collective/icalendar,https://github.com/collective/icalendar.git,https://icalendar.readthedocs.io/en/latest/,python,uncategorized,27925,libfuzzer,address | undefined,0,Yes,Yes,No,,2,,10,6.04,CWE-79 | CWE-264 | CWE-287 | CWE-22 | CWE-200,1126
libpcap,the-tcpdump-group/libpcap,https://github.com/the-tcpdump-group/libpcap.git,https://www.tcpdump.org,c++,networking,78348,libfuzzer | afl | honggfuzz,address | memory | undefined,1,Yes,Yes,No,cmake,2,make | cmake | flex | bison,10,5.23,CWE-131 | CWE-345 | CWE-476 | CWE-918 | CWE-770 | CWE-415 | CWE-122 | CWE-126 | CWE-787,3073
mpv,mpv-player/mpv,https://github.com/mpv-player/mpv,https://github.com/mpv-player/mpv,c,uncategorized,170728,afl | honggfuzz | libfuzzer,address | undefined | fuzzer,1,Yes,Yes,No,make,2,nasm | pkgconf | gperf | zip | rsync,10,7.43,CWE-20 | CWE-134 | CWE-434 | CWE-862 | CWE-362,34479
ndpi,ntop/nDPI,https://github.com/ntop/nDPI.git,https://www.ntop.org/products/deep-packet-inspection/ndpi/,c++,data-parsing,154745,,address | undefined | memory,0,Yes,Yes,No,cmake,2,make | autoconf | automake | autogen | pkg-config | libtool | flex | bison | cmake | libnuma-dev | libpcre2-dev | libjson-c-dev,10,7.74,CWE-190 | CWE-787 | CWE-125 | CWE-416 | CWE-121,4379
netdata,netdata/netdata,https://github.com/netdata/netdata,https://my-netdata.io,,uncategorized,876089,,,0,No,No,No,,0,,10,5.88,CWE-79 | CWE-94 | CWE-113 | CWE-116 | CWE-200 | CWE-20 | CWE-77 | CWE-287 | CWE-668 | CWE-426,78136
openvswitch,openvswitch/ovs,https://github.com/openvswitch/ovs.git,http://www.openvswitch.org,c++,crypto,355038,,address | undefined,1,Yes,Yes,No,make,2,make | autoconf | automake | libtool | python3 | python3-pip | libz-dev | libssl-dev,10,7.42,CWE-400 | CWE-416 | CWE-125 | CWE-191 | CWE-401,3919
pacemaker,ClusterLabs/pacemaker,https://github.com/ClusterLabs/pacemaker,https://www.clusterlabs.org/pacemaker/,c,crypto | compression | networking,188642,,,0,Yes,No,No,make,1,make | autoconf | automake | libtool | pkg-config | cmake | nasm | autopoint | gettext | python3 | libqb-dev | libbz2-dev | libglib2.0-dev | corosync | libgnutls28-dev | libcfg-dev | libcpg-dev | libcmap-dev | libquorum-dev | libpython3-dev | libdbus-1-dev,10,5.81,CWE-399 | CWE-264 | CWE-254 | CWE-285 | CWE-287 | CWE-400 | CWE-416 | CWE-59 | CWE-284,1137
underscore,doboy/Underscore,https://github.com/doboy/Underscore,https://github.com/doboy/Underscore,python,uncategorized,1063,libfuzzer,address,0,Yes,Yes,No,,2,make | autoconf | automake | libtool,10,7.45,CWE-94 | CWE-1333 | CWE-915 | CWE-1321 | CWE-400 | CWE-644,7
weechat,weechat/weechat,https://github.com/weechat/weechat,https://github.com/weechat/weechat,,uncategorized,271357,,,0,No,No,No,,0,,10,6.94,CWE-20 | CWE-119 | CWE-120 | CWE-125 | CWE-295 | CWE-190,3279
chrono,chronotope/chrono,https://github.com/chronotope/chrono.git,https://github.com/chronotope/chrono,rust,uncategorized,28296,libfuzzer,address,0,Yes,Yes,No,cargo,2,,9,6.02,CWE-94 | CWE-89 | CWE-79 | CWE-22 | CWE-352,3820
cmark,commonmark/cmark,https://github.com/commonmark/cmark.git,http://commonmark.org,c++,uncategorized,16926,libfuzzer | afl | honggfuzz,address | memory | undefined,3,Yes,Yes,No,cmake,2,make | cmake | python3,9,5.66,CWE-190 | CWE-400 | CWE-407 | CWE-125 | CWE-91,1936
coturn,coturn/coturn,https://github.com/coturn/coturn,https://github.com/coturn/coturn,c,crypto | networking,40414,libfuzzer | afl | honggfuzz,address | memory | undefined,6,Yes,Yes,No,cmake,2,cmake | libssl-dev | libevent-dev,9,7.4,CWE-89 | CWE-862 | CWE-125 | CWE-476 | CWE-665 | CWE-441 | CWE-682 | CWE-338 | CWE-284,13745
grok,GrokImageCompression/grok,https://github.com/GrokImageCompression/grok.git,https://github.com/GrokImageCompression/grok,c++,uncategorized,95775,libfuzzer | afl | honggfuzz,address | memory | undefined,0,Yes,Yes,No,cmake,2,,9,6.89,CWE-119 | CWE-787 | CWE-94,274
harfbuzz,harfbuzz/harfbuzz,https://github.com/harfbuzz/harfbuzz.git,https://github.com/harfbuzz/harfbuzz,c++,font-rendering,161155,libfuzzer | afl | honggfuzz,address | undefined | memory,7,Yes,Yes,No,,2,python3-pip | ragel | pkg-config,9,6.43,CWE-119 | CWE-125 | CWE-787 | CWE-190 | CWE-770 | CWE-122 | CWE-476,5404
icu,unicode-org/icu,https://github.com/unicode-org/icu.git,https://icu.unicode.org,c++,font-rendering,1360706,libfuzzer | honggfuzz | afl,address | undefined,0,Yes,Yes,No,make,2,make,9,7.36,CWE-119 | CWE-189 | CWE-306 | CWE-200 | CWE-457 | CWE-121,3432
libmodbus,stephane/libmodbus,https://github.com/stephane/libmodbus,https://libmodbus.org,c,networking,5344,libfuzzer | afl | honggfuzz,address | undefined,4,Yes,Yes,No,make,2,make | autoconf | automake | libtool | libtool-bin,9,7.29,CWE-125 | CWE-119 | CWE-787 | CWE-122 | CWE-120 | CWE-416 | CWE-400 | CWE-121,4080
librsvg,,https://gitlab.gnome.org/GNOME/librsvg.git,https://gitlab.gnome.org/GNOME/librsvg/,rust,image-parsing | font-rendering,,libfuzzer,address,2,Yes,Yes,No,cargo,2,gperf | pkg-config,9,6.13,CWE-20 | CWE-125 | CWE-369 | CWE-400 | CWE-22,
naga,gfx-rs/naga,https://github.com/gfx-rs/naga,https://github.com/gfx-rs/naga,rust,uncategorized,74178,libfuzzer,address,0,Yes,Yes,No,cargo,2,make | autoconf | automake | libtool,9,7.19,CWE-190 | CWE-89 | CWE-79 | CWE-787 | CWE-434 | CWE-352,1567
